customer_id,review_text,rating,review_date,location
CUST_41047,Amazing experience! The car was brand new and the service was exceptional.,5,2024-11-23,"Columbus, OH"
CUST_63132,Poor maintenance of vehicles. The car had brake issues and was unsafe to drive. I appreciated the clear communication.,2,2024-12-04,"Charlotte, NC"
CUST_72428,Excellent customer support. They were helpful throughout the entire rental period.,5,2025-06-12,"New York, NY"
CUST_83080,Amazing experience! The car was brand new and the service was exceptional. The car was suitable for my requirements. Customer service could be more responsive.,5,2024-12-24,"San Diego, CA"
CUST_63384,Amazing experience! The car was brand new and the service was exceptional. The return process was quick and easy.,5,2025-04-10,"Austin, TX"
CUST_83998,"Professional service from start to finish. The car was well-maintained and reliable. Overall, it met my transportation needs.",5,2025-05-04,"Chicago, IL"
CUST_98437,Terrible experience. The car was dirty and had several scratches. Very disappointed. The service met industry standards. They arrived exactly on time as promised.,1,2025-02-03,"Chicago, IL"
CUST_29448,Outstanding customer service. The booking process was easy and the car exceeded my expectations. The car was suitable for my requirements.,5,2025-01-22,"San Antonio, TX"
CUST_56962,The rental process was smooth but the car was just average. The representative was friendly and efficient.,3,2025-05-23,"San Francisco, CA"
CUST_18281,Amazing experience! The car was brand new and the service was exceptional. A bit expensive but worth the quality.,5,2025-04-09,"Los Angeles, CA"
CUST_22089,Great experience with car rental. The vehicle was delivered on time and in perfect condition.,5,2024-12-07,"Charlotte, NC"
CUST_77612,Excellent customer support. They were helpful throughout the entire rental period. The return process was quick and easy.,5,2025-05-10,"Los Angeles, CA"
CUST_33226,Great experience with car rental. The vehicle was delivered on time and in perfect condition. I appreciated the clear communication.,5,2025-03-14,"Houston, TX"
CUST_98269,Fair service and pricing. The car was in acceptable condition.,3,2025-05-15,"Chicago, IL"
CUST_62729,Terrible experience. The car was dirty and had several scratches. Very disappointed. The pickup was delayed by 30 minutes.,2,2024-10-27,"San Antonio, TX"
CUST_15982,Professional service from start to finish. The car was well-maintained and reliable.,5,2024-07-05,"San Jose, CA"
CUST_26961,Poor service quality. The delivery was late and the staff was rude and unprofessional. Great value for the money spent.,2,2025-04-05,"Philadelphia, PA"
CUST_62875,Excellent customer support. They were helpful throughout the entire rental period. The return process was quick and easy.,4,2024-12-14,"Philadelphia, PA"
CUST_84567,Worst car rental experience ever. The staff was unhelpful and the car was in poor condition. They arrived exactly on time as promised.,1,2024-06-21,"San Jose, CA"
CUST_29534,Decent rental service. The car met basic requirements but lacked some features.,3,2024-09-25,"Seattle, WA"
CUST_40228,Outstanding customer service. The booking process was easy and the car exceeded my expectations. I would consider using this service again.,5,2024-10-30,"San Jose, CA"
CUST_74508,Great experience with car rental. The vehicle was delivered on time and in perfect condition. The car was suitable for my requirements.,5,2024-10-09,"San Jose, CA"
CUST_78648,"Great value for money. The car was clean, comfortable, and fuel efficient.",5,2024-12-20,"Phoenix, AZ"
CUST_28140,Amazing experience! The car was brand new and the service was exceptional.,5,2025-02-22,"Seattle, WA"
CUST_50982,The car broke down during my trip. No proper assistance was provided by the company.,1,2024-07-13,"San Francisco, CA"
CUST_16587,Great experience with car rental. The vehicle was delivered on time and in perfect condition. I appreciated the clear communication.,4,2025-01-11,"Houston, TX"
CUST_39289,"Great value for money. The car was clean, comfortable, and fuel efficient. The delivery was 15 minutes late.",5,2025-06-16,"Indianapolis, IN"
CUST_74285,Professional service from start to finish. The car was well-maintained and reliable.,5,2024-11-21,"Denver, CO"
CUST_84978,Excellent customer support. They were helpful throughout the entire rental period.,5,2025-05-27,"Fort Worth, TX"
CUST_29443,"Very satisfied with the rental. Clean car, friendly staff, and reasonable pricing.",5,2024-07-30,"Austin, TX"
CUST_88414,Excellent customer support. They were helpful throughout the entire rental period. The booking process was straightforward.,5,2024-09-18,"Indianapolis, IN"
CUST_82774,"Very satisfied with the rental. Clean car, friendly staff, and reasonable pricing. The car was spotless inside and out.",5,2025-02-06,"Dallas, TX"
CUST_86177,Outstanding customer service. The booking process was easy and the car exceeded my expectations. The car was spotless inside and out.,5,2025-04-25,"San Antonio, TX"
CUST_19284,"Very satisfied with the rental. Clean car, friendly staff, and reasonable pricing. The car was suitable for my requirements.",5,2025-01-31,"Boston, MA"
CUST_60500,"Very satisfied with the rental. Clean car, friendly staff, and reasonable pricing.",5,2024-10-04,"Austin, TX"
CUST_84931,Amazing experience! The car was brand new and the service was exceptional.,5,2024-08-17,"Los Angeles, CA"
CUST_15429,Great experience with car rental. The vehicle was delivered on time and in perfect condition. Unexpected charges were added at the end.,4,2024-11-19,"Phoenix, AZ"
CUST_16022,Perfect car for my trip. Everything worked smoothly and the pickup was punctual. The return process was quick and easy. The interior was immaculate and well-maintained.,5,2024-06-21,"Los Angeles, CA"
CUST_60285,The car had mechanical issues and the air conditioning wasn't working properly. A bit expensive but worth the quality.,2,2024-11-07,"San Diego, CA"
CUST_93603,Poor service quality. The delivery was late and the staff was rude and unprofessional. The pricing was transparent with no hidden fees.,1,2024-10-31,"New York, NY"
CUST_13295,Excellent service! The car was clean and well-maintained. Staff was very helpful and professional. The car was suitable for my requirements. Unexpected charges were added at the end.,5,2024-08-07,"Columbus, OH"
CUST_84334,Professional service from start to finish. The car was well-maintained and reliable.,4,2024-09-20,"Seattle, WA"
CUST_45311,Great experience with car rental. The vehicle was delivered on time and in perfect condition.,5,2024-07-13,"Jacksonville, FL"
CUST_35253,Excellent customer support. They were helpful throughout the entire rental period. The service met industry standards.,4,2024-12-06,"Houston, TX"
